MAKE,MODEL,MYR,OL,OW,OH,WB,CW,A1,B1,C1,D1,E1,F1,G1,TWF,TWR,WDIST
FORD,F-250 SD P/U REG CAB L/BOX,17,583,203,198,360,2578,134,298,47,90,141,97,126,174,171,N/A
FORD,F-250 SD P/U REG CAB L/BOX 4X4,17,583,203,207,360,2770,134,298,47,90,141,97,126,174,171,N/A
FORD,F-250 SD P/U SUPERCAB L/BOX,17,640,203,198,417,2734,134,355,47,90,141,97,126,174,171,N/A
FORD,F-250 SD P/U SUPERCAB L/BOX 4x4,17,640,203,207,417,2922,134,355,47,90,141,97,126,174,171,N/A
FORD,F-250 SD P/U SUPERCAB S/BOX,17,599,203,199,376,2691,134,314,47,90,141,97,126,174,171,N/A
FORD,F-250 SD P/U SUPERCAB S/BOX 4X4,17,599,203,207,376,2890,134,314,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U CREW CAB L/BOX,17,670,203,198,447,2956,134,385,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U CREW CAB L/BOX 4X4,17,670,203,206,447,3142,134,385,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U CREW CAB L/BOX DRW,17,670,203,198,447,3163,134,385,47,90,141,97,126,176,190,N/A
FORD,F-350 SD P/U CREW CAB L/BOX DRW 4X4,17,670,203,206,447,3347,134,385,47,90,141,97,126,176,190,N/A
FORD,F-350 SD P/U CREW CAB S/BOX,17,629,203,199,406,2848,134,344,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U CREW CAB S/BOX 4X4,17,629,203,207,406,3036,134,344,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U REG CAB L/BOX,17,583,203,198,360,2680,134,298,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U REG CAB L/BOX 4X4,17,583,203,206,360,2874,134,298,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U REG CAB L/BOX DRW,17,583,203,199,360,2860,134,298,47,90,141,97,126,176,190,N/A
FORD,F-350 SD P/U REG CAB L/BOX DRW 4X4,17,583,203,205,360,3069,134,298,47,90,141,97,126,176,190,N/A
FORD,F-350 SD P/U SUPERCAB L/BOX,17,640,203,198,417,2831,134,355,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U SUPERCAB L/BOX 4X4,17,640,203,206,417,3017,134,355,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U SUPERCAB L/BOX DRW,17,640,203,198,417,3052,134,355,47,90,141,97,126,176,190,N/A
FORD,F-350 SD P/U SUPERCAB L/BOX DRW 4X4,17,640,203,206,417,3242,134,355,47,90,141,97,126,176,190,N/A
FORD,F-350 SD P/U SUPERCAB S/BOX,17,599,203,198,376,2776,134,314,47,90,141,97,126,174,171,N/A
FORD,F-350 SD P/U SUPERCAB S/BOX 4X4,17,599,203,207,376,2968,134,314,47,90,141,97,126,174,171,N/A
FORD,F-450 SD P/U CREW CAB L/BOX DRW 4X4,17,670,203,206,447,3896,134,385,47,90,141,97,126,190,190,N/A
FORD,FIESTA 4DR HATCH,13,406,172,148,249,1151,99,121,35,80,104,85,72,147,145,59/41
FORD,FIESTA 4DR SEDAN,13,440,172,148,249,1169,99,51,33,80,103,85,106,146,145,59/41
FORD,FIESTA ST 4DR HATCHBACK,13,407,172,145,249,1244,99,122,35,82,104,85,73,147,145,59/41
FORD,FLEX 5DR CUV AWD,8,513,193,172,300,2195,130,220,42,96,126,97,114,167,167,54/46
